,,,,계,,관광,,상용,,공용,,유학연수,,기타
년,월,대륙,국적,인원수,증감률(%),인원수,증감률(%),인원수,증감률(%),인원수,증감률(%),인원수,증감률(%),인원수,증감률(%)
"2010","01","유럽","아일랜드","526","-42.45","311","-58.31","16","6.67","0","0.00","1","0.00","198","29.41"
"2010","01","유럽","유럽 기타","1,715","-2.17","1,219","0.74","37","23.33","0","-100.00","49","53.13","410","-14.05"
"2010","01","유럽 소계","","46,509","-5.57","28,798","-5.24","2,250","-1.83","119","-6.30","476","35.61","14,866","-7.62"
"2010","01","오세아니아","오스트레일리아","8,431","22.12","6,974","23.63","340","14.86","9","-18.18","10","11.11","1,098","15.95"
"2010","01","오세아니아","뉴질랜드","2,035","10.42","1,545","9.50","53","43.24","1","0.00","1","-50.00","435","10.69"
"2010","01","오세아니아","오세아니아 기타","906","-2.48","730","6.10","0","-100.00","4","0.00","4","100.00","168","-28.81"
"2010","01","오세아니아 소계","","11,372","17.53","9,249","19.50","393","16.96","14","27.27","15","15.38","1,701","7.93"
"2010","01","아프리카","남아프리카공화국","788","23.13","214","1.90","27","8.00","0","0.00","2","100.00","545","34.90"
"2010","01","아프리카","아프리카 기타","1,350","4.33","349","15.95","594","-6.46","25","78.57","86","152.94","296","-4.52"
"2010","01","아프리카 소계","","2,138","10.55","563","10.18","621","-5.91","25","78.57","88","151.43","841","17.79"
"2010","01","기타","국적미상","13","-35.00","10","-50.00","3","0.00","0","0.00","0","0.00","0","0.00"
"2010","01","기타 소계","","13","-35.00","10","-50.00","3","0.00","0","0.00","0","0.00","0","0.00"
"2010","01","교포","교포","22,537","22.23","0","0.00","0","0.00","0","0.00","0","0.00","22,537","22.23"
"2010","01","교포 소계","","22,537","22.23","0","0.00","0","0.00","0","0.00","0","0.00","22,537","22.23"
"2010","01 소계","","","569,453","-6.29","400,818","-9.25","22,896","11.44","2,738","-0.94","5,118","4.96","137,883","0.07"
"2010","02","아시아","중국","140,571","9.84","60,590","135.85","7,907","-31.03","68","-37.04","29,546","2.08","42,460","-31.26"
"2010","02","아시아","일본","230,362","-21.75","224,475","-22.21","1,455","20.25","63","-25.00","1,172","4.92","3,197","-6.05"
"2010","02","아시아","대만","36,651","19.62","35,758","20.05","45","-6.25","18","125.00","234","41.82","596","-5.70"
"2010","02","아시아","홍콩","23,051","45.82","22,462","49.37","47","-4.08","0","0.00","65","41.30","477","-29.33"
"2010","02","아시아","마카오","918","61.62","916","62.70","0","-100.00","0","0.00","2","100.00","0","0.00"
"2010","02","아시아","필리핀","20,411","-1.10","4,638","15.66","225","81.45","47","-20.34","90","32.35","15,411","-5.90"
"2010","02","아시아","인도네시아","4,922","1.74","2,142","53.77","235","-7.11","7","-50.00","164","10.07","2,374","-21.62"
"2010","02","아시아","태국","16,683","13.18","12,358","24.85","33","43.48","36","260.00","131","70.13","4,125","-12.83"
"2010","02","아시아","베트남","6,749","-17.08","2,447","51.24","235","-15.16","9","28.57","755","-11.59","3,303","-38.64"
"2010","02","아시아","인도","5,439","7.02","951","-23.37","1,540","37.50","5","-66.67","140","9.38","2,803","8.73"
